ticket_id,date,customer_segment,channel,subject,description
T001,2024-01-03,Enterprise,Email,Cannot access dashboard after update,"Since the latest platform update on Jan 2nd, our entire team has been locked out of the analytics dashboard. This is blocking our weekly reporting cycle and we need urgent resolution."
T002,2024-01-03,SMB,Chat,Billing discrepancy on invoice,I was charged twice for the same subscription period. Invoice #INV-2024-0892 shows a duplicate entry. Please refund the extra charge as soon as possible.
T003,2024-01-04,Enterprise,Phone,Data export not working for Q4 reports,The CSV export function for date ranges beyond 90 days is failing silently. No error message appears but the file never downloads. Our Q4 board report is due Friday.
T004,2024-01-04,SMB,Email,How do I add a new team member?,"Hi, I just upgraded my plan and want to add 3 new users. I followed the instructions in the help center but the invite emails are not being received. Can you help?"
T005,2024-01-05,Enterprise,Chat,Integration with Salesforce broken after API update,Our Salesforce connector stopped syncing yesterday. We are seeing authentication errors in the logs. This affects our CRM reporting for 200+ sales reps.
T006,2024-01-05,SMB,Email,Really happy with the new reporting features,Just wanted to say the new automated report scheduling feature is fantastic. It saves our team at least 3 hours every Monday. Great work to your product team!
T007,2024-01-06,Enterprise,Phone,Performance issues on large dataset queries,Queries on datasets over 1 million rows are timing out after 30 seconds. This was not an issue 2 weeks ago. We need this resolved before our end of month analytics run.
T008,2024-01-06,SMB,Chat,Wrong data appearing in my custom dashboard,Some of the KPI widgets on my custom dashboard are showing last month data instead of current month. I have refreshed multiple times but the issue persists.
T009,2024-01-07,Enterprise,Email,Request for dedicated account manager,We have been a customer for 3 years and our usage has grown significantly. We would like to discuss upgrading to an enterprise support tier with a dedicated contact.
T010,2024-01-07,SMB,Email,Password reset email never arrives,I have tried resetting my password 4 times today. The reset email never arrives. I checked spam and it is not there either. I am completely locked out of my account.
T011,2024-01-08,Enterprise,Chat,Compliance report missing required fields,The SOC2 compliance report we downloaded is missing the data retention section. Our auditors need this by end of week and we cannot submit an incomplete report.
T012,2024-01-08,SMB,Phone,App crashes on mobile when opening large reports,"The mobile app consistently crashes when I try to open any report with more than 20 visualizations. This started after the last app update. iPhone 15, iOS 17.2."
T013,2024-01-09,Enterprise,Email,Excellent onboarding experience,Our new data team completed the onboarding program last week. The structured training and responsive support team made the process seamless. Very impressed.
T014,2024-01-09,SMB,Chat,Cannot connect to Azure data source,I am trying to connect my Azure SQL database as a data source but the connection wizard keeps failing at the authentication step. I have triple checked my credentials.
T015,2024-01-10,Enterprise,Phone,Need bulk user deprovisioning feature,We are offboarding 50 employees and there is no way to remove users in bulk. We have to deactivate each account individually which is extremely time consuming.
T016,2024-01-10,SMB,Email,Thank you for fast resolution on my last ticket,The support agent who handled my issue last week went above and beyond. Issue was resolved same day. Please pass on my appreciation to the team.
T017,2024-01-11,Enterprise,Chat,Scheduled reports not sending to email distribution list,We set up weekly automated reports to go to a 15-person distribution list. The reports generate but emails are only received by the first address on the list.
T018,2024-01-11,SMB,Email,Feature request - dark mode for dashboard,Not urgent at all but would love to see a dark mode option for the dashboard. Spend a lot of time on the platform and it would reduce eye strain significantly.
T019,2024-01-12,Enterprise,Phone,Data pipeline failure causing missing records,Our nightly data sync failed on Jan 11th and we have a 24 hour gap in our analytics data. We need a backfill process initiated immediately for the affected period.
